"Año;Tipo;Miles de Tn de LCE"
"2022;Carbonato;345"
"2023;Carbonato;407"
"2024;Carbonato;474"
"2025;Carbonato;539"
"2026;Carbonato;598"
"2027;Carbonato;679"
"2028;Carbonato;717"
"2029;Carbonato;803"
"2030;Carbonato;921"
"2022;Hidróxido;198"
"2023;Hidróxido;268"
"2024;Hidróxido;354"
"2025;Hidróxido;459"
"2026;Hidróxido;561"
"2027;Hidróxido;660"
"2028;Hidróxido;832"
"2029;Hidróxido;1017"
"2030;Hidróxido;1181"
"2022;Otros;16"
"2023;Otros;10"
"2024;Otros;10"
"2025;Otros;5"
"2026;Otros;10"
"2027;Otros;10"
"2028;Otros;11"
"2029;Otros;11"
"2030;Otros;12"












































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































